AgencyID,AgencyName,AgencyType,PhysicalCity,PhysicalZIPCode,Countyname,JurisdictionName,ReportingYear,ReportingType,AgencyStatus,ReportStatus,TotalNumberOfFacilities,DisposalTons,NumberOfEmployees,EmployeeDisposalRate,EmployeeDisposalRateTarget,NonEmployeePopulationType,NonEmployeeDisposalRate,NonEmployeeDisposalRateTarget,Comments
371,Merced College,Community College,Merced,95348,Merced,Merced,2011,Modified,Active,Submitted,1,873,811,5.9,5.9,Students,0.41,0.7,
373,Merritt College,Community College,Oakland,94619,Alameda,Oakland,2011,Full,Active,Submitted,,76.08,155,2.69,4.9,Students,0.05,0.2,
374,Mesa College,Community College,San Diego,92111-4998,San Diego,San Diego,2011,Full,Active,Submitted,,188.98,1373,0.75,3.1,Students,0.04,0.2,
375,Metropolitan State Hospital,General State Agency,Norwalk,90650-2096,Los Angeles,Norwalk,2011,Full,Active,Submitted,,689.6,1435,2.63,5.6,Patients,6.08,13.2,
375,Metropolitan State Hospital,General State Agency,Norwalk,90650-2096,Los Angeles,Norwalk,2012,Full,Active,Submitted,,485.56,1339,1.99,5.6,Patients,4.16,13.2,
375,Metropolitan State Hospital,General State Agency,Norwalk,90650-2096,Los Angeles,Norwalk,2013,Full,Active,Submitted,,465.14,1440,1.77,5.6,Patients,3.81,13.2,
375,Metropolitan State Hospital,General State Agency,Norwalk,90650-2096,Los Angeles,Norwalk,2014,Full,Active,Submitted,,504.7,1470,1.88,5.6,Patients,3.79,13.2,
377,Miracosta Community College,Community College,Oceanside,92056,San Diego,Oceanside,2011,Full,Active,Submitted,3,393.64,465,4.64,17.8,Students,0.15,0.5,
378,Miramar College,Community College,San Diego,92126-2999,San Diego,San Diego-Unincorporated,2011,Full,Active,Submitted,,321.64,750,2.35,3.2,Students,0.13,0.2,
379,Mission Community College,Community College,Santa Clara,95054,Santa Clara,Santa Clara-Unincorporated,2011,Full,Active,Submitted,,122.2,278,2.41,5.2,Students,0.09,0.1,
380,Monterey Peninsula College,Community College,Monterey,93940,Monterey,Monterey,2011,Full,Active,Submitted,,183,610,1.64,3.4,Students,0.05,0.1,
381,Moorpark College,Community College,Moorpark,93021,Ventura,Moorpark,2011,Full,Active,Submitted,,114.53,649,0.97,3.3,Students,0.04,0.2,
382,Mt. San Antonio Community College District,Community College,Walnut,91789,Los Angeles,Walnut,2011,Full,Active,Submitted,1,547,2125,1.41,2.1,Students,0.09,0.1,
383,Mt. San Jacinto Community College District,Community College,San Jacinto,92583-2399,Riverside,San Jacinto,2011,Full,Active,Submitted,3,155.80000000000001,2366,0.36,1.9,Students,0.04,0.2,
384,Mule Creek State Prison,Correctional,Ione,95640,Amador,Ione,2011,Full,Active,Submitted,1,1813.06,1292,7.69,9,Inmates,2.88,2.5,
384,Mule Creek State Prison,Correctional,Ione,95640,Amador,Ione,2012,Full,Active,Submitted,,1044.52,930,6.15,9,Inmates,2.03,2.5,
385,Napa State Hospital,General State Agency,Napa,94558-6293,Napa,Napa,2011,Full,Active,Submitted,,1026.92,2286,2.46,2.7,Patients,4.78,2.3,
385,Napa State Hospital,General State Agency,Napa,94558-6293,Napa,Napa,2012,Full,Active,Submitted,1,937.21,4672,1.1,2.7,Patients,4.22,2.3,
385,Napa State Hospital,General State Agency,Napa,94558-6293,Napa,Napa,2013,Full,Active,Submitted,,865.3,2321,2.04,2.7,Patients,3.34,2.3,
385,Napa State Hospital,General State Agency,Napa,94558-6293,Napa,Napa,2014,Full,Active,Submitted,,916.14,2316,2.17,2.7,Patients,4.27,2.3,
386,Napa Valley Community College,Community College,Napa,94558,Napa,Napa,2011,Full,Active,Submitted,2,210,473,2.43,2.6,Students,0.12,0.1,
388,North Kern State Prison (NKSP),Correctional,Delano,93216,Kern,Delano,2011,Full,Active,Submitted,1,845.07,1561,2.97,7.2,Inmates,0.99,2,
388,North Kern State Prison (NKSP),Correctional,Delano,93216,Kern,Delano,2012,Full,Active,Submitted,1,1118.8900000000001,1504,4.08,7.2,Inmates,1.31,2,
388,North Kern State Prison (NKSP),Correctional,Delano,93216,Kern,Delano,2013,Full,Active,Submitted,,1145.72,1381,4.55,7.2,Inmates,1.34,2,
388,North Kern State Prison (NKSP),Correctional,Delano,93216,Kern,Delano,2014,Full,Active,Submitted,,1160.8599999999999,1341,4.74,7.2,Inmates,1.5,2,
391,Northern California Youth Correction Center,Correctional,Stockton,95215,San Joaquin,Stockton,2011,Full,Active,Submitted,2,440,961,2.51,6,Inmates,4.23,8.1,
391,Northern California Youth Correction Center,Correctional,Stockton,95215,San Joaquin,Stockton,2012,Full,Active,Submitted,2,420,1260,1.83,6,Inmates,5.41,8.1,
391,Northern California Youth Correction Center,Correctional,Stockton,95215,San Joaquin,Stockton,2013,Full,Active,Submitted,2,364.6,844,2.37,6,Inmates,4.7,8.1,
391,Northern California Youth Correction Center,Correctional,Stockton,95215,San Joaquin,Stockton,2014,Full,Active,Submitted,3,350.96,719,2.67,6,Inmates,4.91,8.1,
405,Ohlone College,Community College,Fremont,94539-0390,Alameda,Fremont,2011,Full,Active,Submitted,1,149,1100,0.74,6.9,Students,0.07,0.2,
406,Orange Coast College,Community College,Costa Mesa,92626,Orange,Costa Mesa,2011,Full,Active,Submitted,2,413.79,2249,1.01,3,Students,0.07,0.2,
409,Oxnard College,Community College,Oxnard,93033,Ventura,Oxnard,2011,Full,Active,Submitted,3,252.59,167,8.289999999999999,10.7,Students,0.19,0.4,
410,Palo Verde Community College,Community College,Blythe,92225,Riverside,Blythe,2011,Full,Active,Submitted,,14.38,199,0.4,1.4,Students,0.02,0.2,
412,Palomar Community College District,Community College,San Marcos,92069,San Diego,San Marcos,2011,Full,Active,Submitted,2,161,5318,0.17,1,Students,0.02,0.1,
413,Pasadena Area Community College District,Community College,Pasadena,91106,Los Angeles,Pasadena,2011,Full,Active,Submitted,4,1373.2,7249,1.04,3.7,Students,0.09,0.2,
414,Patton State Hospital,General State Agency,Patton,92369,San Bernardino,San Bernardino-Unincorporated,2011,Full,Active,Submitted,1,1181,2850,2.27,2.9,Patients,4.28,4.8,
414,Patton State Hospital,General State Agency,Patton,92369,San Bernardino,San Bernardino-Unincorporated,2012,Full,Active,Submitted,1,950,2617,1.99,2.9,Patients,3.26,4.8,
414,Patton State Hospital,General State Agency,Patton,92369,San Bernardino,San Bernardino-Unincorporated,2013,Full,Active,Submitted,1,957,2630,1.99,2.9,Patients,3.33,4.8,
414,Patton State Hospital,General State Agency,Patton,92369,San Bernardino,San Bernardino-Unincorporated,2014,Full,Active,Submitted,1,1004,2591,2.12,2.9,Patients,3.53,4.8,
415,Pelican Bay State Prison,Correctional,Crescent City,95532,Del Norte,Crescent City,2011,Full,Active,Submitted,,1022,1571,3.56,4.4,Inmates,1.75,1.9,
415,Pelican Bay State Prison,Correctional,Crescent City,95532,Del Norte,Crescent City,2012,Full,Active,Submitted,,1063.3399999999999,1437,4.05,4.4,Inmates,1.87,1.9,
415,Pelican Bay State Prison,Correctional,Crescent City,95532,Del Norte,Crescent City,2013,Full,Active,Submitted,,913.38,1325,3.78,4.4,Inmates,1.78,1.9,
415,Pelican Bay State Prison,Correctional,Crescent City,95532,Del Norte,Crescent City,2014,Full,Active,Submitted,,932.53,1340,3.81,4.4,Inmates,1.84,1.9,
418,Pleasant Valley State Prison,Correctional,Coalinga,93210,Fresno,Coalinga,2011,Full,Active,Submitted,,1074,1490,3.95,5.9,Inmates,1.29,1.7,
418,Pleasant Valley State Prison,Correctional,Coalinga,93210,Fresno,Coalinga,2012,Full,Active,Submitted,,1020.81,1373,4.07,5.9,Inmates,1.6,1.7,
418,Pleasant Valley State Prison,Correctional,Coalinga,93210,Fresno,Coalinga,2013,Full,Active,Submitted,,888.01,1285,3.79,5.9,Inmates,1.38,1.7,
418,Pleasant Valley State Prison,Correctional,Coalinga,93210,Fresno,Coalinga,2014,Full,Active,Submitted,1,891.3,3101,1.57,5.9,Inmates,1.53,1.7,
420,Porterville College,Community College,Porterville,93257,Tulare,Porterville,2011,Full,Active,Submitted,,82.24,241,1.87,2.3,Students,0,0.1,
421,Porterville Developmental Center,Correctional,Porterville,93257,Tulare,Porterville,2011,Full,Active,Submitted,,532.36,1522,1.92,33.9,Patients,4.47,93.9,
421,Porterville Developmental Center,General State Agency,Porterville,93257,Tulare,Porterville,2011,Full,Active,Submitted,,532.36,1522,1.92,33.9,Patients,4.47,93.9,
421,Porterville Developmental Center,Correctional,Porterville,93257,Tulare,Porterville,2012,Full,Active,Submitted,,418.16,1400,1.64,33.9,Patients,3.71,93.9,
421,Porterville Developmental Center,General State Agency,Porterville,93257,Tulare,Porterville,2012,Full,Active,Submitted,,418.16,1400,1.64,33.9,Patients,3.71,93.9,
421,Porterville Developmental Center,Correctional,Porterville,93257,Tulare,Porterville,2013,Full,Active,Submitted,,444.71,1276,1.91,33.9,Patients,4.19,93.9,
421,Porterville Developmental Center,General State Agency,Porterville,93257,Tulare,Porterville,2013,Full,Active,Submitted,,444.71,1276,1.91,33.9,Patients,4.19,93.9,
421,Porterville Developmental Center,Correctional,Porterville,93257,Tulare,Porterville,2014,Full,Active,Submitted,,437.74,1290,1.86,33.9,Patients,5.18,93.9,
421,Porterville Developmental Center,General State Agency,Porterville,93257,Tulare,Porterville,2014,Full,Active,Submitted,,437.74,1290,1.86,33.9,Patients,5.18,93.9,
425,R.A. McGee Correctional Training Center,Correctional,Galt,95632,Sacramento,Galt,2011,Full,Active,Submitted,1,41,178,1.26,3.4,Inmates,0.72,2.4,
425,R.A. McGee Correctional Training Center,Correctional,Galt,95632,Sacramento,Galt,2012,Full,Active,Submitted,1,35.659999999999997,230,0.85,3.4,Inmates,1.42,2.4,
425,R.A. McGee Correctional Training Center,Correctional,Galt,95632,Sacramento,Galt,2013,Full,Active,Submitted,1,46.9,290,0.89,3.4,Inmates,1.22,2.4,
425,R.A. McGee Correctional Training Center,Correctional,Galt,95632,Sacramento,Galt,2014,Full,Active,Submitted,1,55.43,1102,0.28,3.4,Inmates,2.55,2.4,
426,Rancho Santiago Community College District Office,Community College,Santa Ana,92706,Orange,Santa Ana,2011,Full,Active,Submitted,1,22.6,125,0.99,1.1,Students,1.24,0.3,
427,Reedley College,Community College,Reedley,93654,Fresno,Reedley,2011,Full,Active,Submitted,1,251,508,2.71,14.2,Students,0.25,0.4,
431,Richard J. Donovan Correctional Facility,Correctional,San Diego,92179,San Diego,San Diego-Unincorporated,2011,Full,Active,Submitted,1,1500,1700,4.83,5.5,Inmates,1.87,1.2,
